scheduler,objective,energy_wh_total,cfp_g_total,makespan_total,deadline_rate,delta_energy_norm,delta_carbon_norm,delta_makespan_norm,pareto_score,declaration_score,final_score,elapsed_s
greedy_carbon,carbon,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
greedy_carbon,energy,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
greedy_carbon,makespan,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
greedy_energy,carbon,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
greedy_energy,energy,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
greedy_energy,makespan,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
multi_objective,carbon,0,0,0,0.0,1.0,1.0,1.0,1.0,0.15,0.6499999999999999,1.7
multi_objective,energy,0,0,0,0.0,1.0,1.0,1.0,1.0,0.15,0.6499999999999999,1.7
multi_objective,makespan,0,0,0,0.0,1.0,1.0,1.0,1.0,0.15,0.6499999999999999,2.3
temporal_carbon,carbon,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
temporal_carbon,energy,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
temporal_carbon,makespan,100000.0,20000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
greedy_carbon,carbon,59192.6702302861,17546.797005033648,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
greedy_carbon,energy,59192.6702302861,17546.797005033648,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
greedy_carbon,makespan,59192.6702302861,17546.797005033648,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
greedy_energy,carbon,59192.6702302861,17546.797005033648,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
greedy_energy,energy,59192.6702302861,17546.797005033648,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
